name,description,type,constellation,size,ra,dec
NGC 40,PK 120+9.1,Planetary Nebula,Cepheus,0.6,0 13,+72 32
NGC 129,OCL 294,Open Cluster,Cassiopeia,21.0,0 29.9,+60 14
NGC 136,OCL 295,Open Cluster,Cassiopeia,1.0,0 31.5,+61 32
NGC 157,MCG 2-2-56,Galaxy,Cetus,4.3,0 34.8,-8 24
NGC 185,UGC 396,Galaxy,Cassiopeia,11.5,0 39,+48 20
NGC 205,M 110,Galaxy,Andromeda,17.4,0 40.4,+41 41
NGC 225,OCL 305,Open Cluster,Cassiopeia,12.0,0 43.4,+61 47
NGC 246,PK 118-74.1,Planetary Nebula,Cetus,3.8,0 47,-11 53
NGC 247,ESO 540-22,Galaxy,Cetus,20.0,0 47.1,-20 46
NGC 253,ESO 474-29,Galaxy,Sculptor,25.1,0 47.6,-25 17
NGC 278,UGC 528,Galaxy,Cassiopeia,2.2,0 52.1,+47 33
NGC 288,ESO 474-SC37,Globular Cluster,Sculptor,13.8,0 52.8,-26 35
NGC 381,OCL 317,Open Cluster,Cassiopeia,6.0,1 8.3,+61 35
NGC 404,UGC 718,Galaxy,Andromeda,4.4,1 9.4,+35 43
NGC 436,OCL 320,Open Cluster,Cassiopeia,6.0,1 15.6,+58 49
NGC 457,OCL 321,Open Cluster,Cassiopeia,13.0,1 19.1,+58 20
NGC 488,UGC 907,Galaxy,Pisces,5.2,1 21.8,+5 15
NGC 524,UGC 968,Galaxy,Pisces,3.2,1 24.8,+9 32
NGC 559,OCL 322,Open Cluster,Cassiopeia,4.0,1 29.5,+63 18
NGC 584,IC 1712 or H I 100,Galaxy,Cetus,3.8,1 31.3,-6 52
NGC 596,MCG 1-5-5,Galaxy,Cetus,3.5,1 32.9,-7 2
NGC 598,M 33,Galaxy,Triangulum,62.0,1 33.9,+30 39
NGC 613,ESO 413-11,Galaxy,Sculptor,5.8,1 34.3,-29 25
NGC 615,MCG 1-5-8,Galaxy,Cetus,4.0,1 35.1,-7 20
NGC 637,OCL 329,Open Cluster,Cassiopeia,4.0,1 42.9,+64 0
NGC 651,M 76,Planetary Nebula,Perseus,,1 42.3,+51 35
NGC 654,OCL 330,Open Cluster,Cassiopeia,5.0,1 44.1,+61 53
NGC 659,OCL 332,Open Cluster,Cassiopeia,5.0,1 44.2,+60 42
NGC 663,OCL 333,Open Cluster,Cassiopeia,16.0,1 46,+61 15
NGC 720,MCG 2-5-68,Galaxy,Cetus,4.4,1 53,-13 44
NGC 752,OCL 363,Open Cluster,Andromeda,50.0,1 57.8,+37 41
NGC 772,UGC 1466,Galaxy,Aries,7.1,1 59.3,+19 1
