name,description,type,constellation,size,ra,dec
M 1,NGC 1952 Crab Nebula,Supernova Remnant,Taurus,6.0,5 34 30,+22 1 0
M 2,NGC 7089,Globular Cluster,Aquarius,12.9,21 33 30,-0 49 0
M 3,NGC 5272,Globular Cluster,Canes Venatici,16.2,13 42 12,+28 23 0
M 4,NGC 6121,Globular Cluster,Scorpius,26.3,16 23 36,-26 32 0
M 5,NGC 5904,Globular Cluster,Serpens Caput,17.4,15 18 36,+2 5 0
M 6,NGC 6405 Butterfly Cluster,Open Cluster,Scorpius,25,17 40 6,-32 13 0
M 7,NGC 6475 Ptolemy¹s Cluster,Open Cluster,Scorpius,80,17 53 54,-34 49 0
M 8,NGC 6523 Lagoon Nebula,Diffuse Nebula,Sagittarius,90,18 3 48,-24 23 0
M 9,NGC 6333,Globular Cluster,Ophiucus,9.3,17 19 12,-18 31 0
M 10,NGC 6254,Globular Cluster,Ophiucus,15.1,16 57 6,-4 6 0
M 11,NGC 6705 Wild Duck Cluster,Open Cluster,Scutum,14,18 51 6,-6 16 0
M 12,NGC 6218,Globular Cluster,Ophiucus,14.5,16 47 12,-1 57 0
M 13,NGC 6205 Hercules Globular Cluster,Globular Cluster,Hercules,16.6,16 41 42,+36 28 0
M 14,NGC 6402,Globular Cluster,Ophiucus,11.7,17 37 36,-3 15 0
M 15,NGC 7078,Globular Cluster,Pegasus,12.3,21 30 0,+12 10 0
M 16,NGC 6611 Eagle Nebula Cluster,Open Cluster,Serpens Claudia,7,18 18 48,-13 47 0
M 17,NGC 6618 Omega or Swan or Horseshoe Nebula,Diffuse Nebula,Sagittarius,11,18 20 48,-16 11 0
M 18,NGC 6613,Open Cluster,Sagittarius,9,18 19 54,-17 8 0
M 19,NGC 6273,Globular Cluster,Ophiucus,13.5,17 2 36,-26 16 0
M 20,NGC 6514 Trifid Nebula,Diffuse Nebula,Sagittarius,28,18 2 18,-23 2 0
M 21,NGC 6531,Open Cluster,Sagittarius,13,18 4 36,-22 30 0
M 22,NGC 6656,Globular Cluster,Sagittarius,24,18 36 24,-23 54 0
M 23,NGC 6494,Open Cluster,Sagittarius,27,17 56 48,-19 1 0
M 24,NGC 6603 Milky Way Patch,Star Cloud,Sagittarius,90,18 18 24,-18 25 0
M 25,IC 4725,Open Cluster,Sagittarius,40,18 31 42,-19 14 0
M 26,NGC 6694,Open Cluster,Scutum,15,18 45 12,-9 24 0
M 27,NGC 6853 Dumbbell Nebula,Planetary Nebula,Vulpecula,8.0,19 59 36,+22 43 0
M 28,NGC 6626,Globular Cluster,Sagittarius,11.2,18 24 30,-24 52 0
M 29,NGC 6913,Open Cluster,Cygnus,7,20 23 54,+38 32 0
M 30,NGC 7099,Globular Cluster,Capricornus,11,21 40 24,-23 11 0
M 31,NGC 224 Andromeda Galaxy,Spiral Galaxy,Andromeda,178,0 42 42,+41 16 0
M 32,NGC 221 Satellite of M31,Elliptical Galaxy,Andromeda,8,0 42 42,+40 52 0
M 33,NGC 598 Triangulum/Pinwheel Galaxy,Spiral Galaxy,Triangulum,73,1 33 54,+30 39 0
M 34,NGC 1039,Open Cluster,Perseus,35,2 42 0,+42 47 0
M 35,NGC 2168,Open Cluster,Gemini,28,6 8 54,+24 20 0
M 36,NGC 1960,Open Cluster,Auriga,12,5 36 6,+34 8 0
M 37,NGC 2099,Open Cluster,Auriga,24,5 52 24,+32 33 0
M 38,NGC 1912,Open Cluster,Auriga,21,5 28 42,+35 50 0
M 39,NGC 7092,Open Cluster,Cygnus,32,21 32 12,+48 26 0
M 40,Winecke 4,Double Star,Ursa Major,0.82,12 22 12,+58 5 0
M 41,NGC 2287,Open Cluster,Canis Major,38,6 47 0,-20 44 0
M 42,NGC 1976 Great Orion Nebula,Diffuse Nebula,Orion,85,5 35 24,-5 27 0
M 43,NGC 1982 de Mairan¹s Nebula,Diffuse Nebula,Orion,20,5 35 36,-5 16 0
M 44,NGC 2632 Beehive Cluster (Praesepe),Open Cluster,Cancer,95,8 40 6,+19 59 0
M 45,Pleiades or Subaru or Seven Sisters,Open Cluster,Taurus,110,3 47 0,+24 7 12
M 46,NGC 2437,Open Cluster,Puppis,27,7 41 48,-14 49 0
M 47,NGC 2422,Open Cluster,Puppis,30,7 36 36,-14 30 0
M 48,NGC 2548,Open Cluster,Hydra,54,8 13 48,-5 48 0
M 49,NGC 4472,Elliptical Galaxy,Virgo,9,12 29 48,+8 0 0
M 50,NGC 2323,Open Cluster,Monocerus,16,7 3 12,-8 20 0
M 51,NGC 5194 Whirlpool Galaxy,Spiral Galaxy,Canes Venatici,11,13 29 54,+47 12 0
M 52,NGC 7654,Open Cluster,Cassiopeia,13,23 24 12,+61 35 0
M 53,NGC 5024,Globular Cluster,Coma Berenices,12.6,13 12 54,+18 10 0
M 54,NGC 6715,Globular Cluster,Sagittarius,9.1,18 55 6,-30 29 0
M 55,NGC 6809,Globular Cluster,Sagittarius,19,19 40 0,-30 58 0
M 56,NGC 6779,Globular Cluster,Lyra,7.1,19 16 36,+30 11 0
