name,description,type,constellation,size,ra,dec,mag
IC 1,,**,Pegasus,,00 08 27.05,+27 43 03.6,
IC 2,,Galaxy,Cetus,0.98,00 11 00.88,-12 49 22.3,
IC 3,,Galaxy,Pisces,0.93,00 12 06.09,-00 24 54.8,
IC 4,,Galaxy,Pegasus,1.17,00 13 26.94,+17 29 11.2,
IC 5,,Galaxy,Cetus,0.99,00 17 34.93,-09 32 36.1,
IC 6,,Galaxy,Pisces,1.23,00 18 55.04,-03 16 33.9,
IC 7,,Galaxy,Pisces,0.90,00 18 53.16,+10 35 40.9,
IC 8,,Galaxy,Pisces,0.82,00 19 02.72,-03 13 19.5,
IC 9,,Galaxy,Cetus,0.59,00 19 43.98,-14 07 18.8,
IC 10,,Galaxy,Cassiopeia,6.76,00 20 17.34,+59 18 13.6,10.35
IC 11,NGC 281,Duplicate,Cassiopeia,,00 52 59.35,+56 37 18.8,
IC 12,,Galaxy,Pisces,0.96,00 20 15.05,-02 39 11.2,
IC 13,,Galaxy,Pisces,1.29,00 20 20.09,+07 42 01.8,
IC 14,,**,Pisces,,00 22 31.29,+10 29 24.9,
IC 15,,Galaxy,Cetus,0.44,00 27 57.59,-00 03 40.6,
IC 16,,Galaxy,Cetus,0.58,00 28 07.65,-13 05 38.1,
IC 17,,Galaxy,Cetus,0.67,00 28 29.78,+02 38 55.0,
IC 18,,Galaxy,Cetus,1.08,00 28 34.96,-11 35 12.1,
IC 19,,Galaxy,Cetus,0.79,00 28 39.48,-11 38 26.8,
IC 20,,Galaxy,Cetus,0.91,00 28 39.68,-13 00 37.1,
IC 21,,Galaxy,Cetus,0.49,00 29 10.43,-00 09 49.6,
IC 22,,Galaxy,Cetus,0.81,00 29 33.17,-09 04 50.7,
IC 23,,Galaxy,Cetus,0.85,00 30 50.80,-12 43 12.9,
IC 24,,**,Andromeda,,00 31 16.63,+30 50 21.5,
IC 25,,Galaxy,Cetus,0.86,00 31 12.09,-00 24 26.5,
IC 26,NGC 135,Duplicate,Cetus,,00 31 45.94,-13 20 14.9,
IC 27,,Galaxy,Cetus,0.58,00 33 06.24,-13 22 17.4,
IC 28,,Galaxy,Cetus,0.30,00 33 08.72,-13 27 22.6,
IC 29,,Galaxy,Cetus,0.66,00 34 10.80,-02 10 39.5,
IC 30,,Galaxy,Cetus,0.69,00 34 14.72,-02 05 04.5,
IC 31,,Galaxy,Pisces,1.16,00 34 24.63,+12 16 05.4,
IC 32,,Galaxy,Cetus,0.62,00 35 01.69,-02 08 30.1,
IC 33,,Galaxy,Cetus,0.78,00 35 05.16,-02 08 15.7,
IC 34,,Galaxy,Pisces,2.81,00 35 36.42,+09 07 27.3,
IC 35,,Galaxy,Pisces,0.90,00 37 39.88,+10 21 28.7,
IC 36,,Galaxy,Cetus,0.31,00 37 49.65,-15 26 28.6,
IC 37,,Galaxy,Cetus,0.67,00 38 34.18,-15 21 31.3,
IC 38,,Galaxy,Cetus,0.77,00 38 38.76,-15 25 11.4,
IC 39,NGC 178,Duplicate,Cetus,,00 39 08.40,-14 10 22.2,
IC 40,,Galaxy,Cetus,1.05,00 39 21.40,+02 27 22.4,
IC 41,,Galaxy,Cetus,0.71,00 39 40.37,-14 10 27.6,
IC 42,,Galaxy,Cetus,0.76,00 41 05.84,-15 25 41.1,
IC 43,,Galaxy,Andromeda,1.26,00 42 22.06,+29 38 29.9,13.25
IC 44,NGC 223,Duplicate,Cetus,,00 42 15.88,+00 50 43.8,
IC 45,,Other,Andromeda,,00 42 36.34,+29 39 18.9,
IC 46,,Galaxy,Andromeda,0.80,00 42 57.97,+27 15 12.5,
IC 47,,Galaxy,Cetus,0.41,00 42 55.01,-13 44 26.6,
IC 48,IC 1577,Galaxy,Cetus,1.12,00 43 34.47,-08 11 11.4,13.16
IC 49,,Galaxy,Cetus,1.28,00 43 56.13,+01 51 01.0,13.78
IC 50,,Galaxy,Cetus,1.02,00 46 05.71,-09 30 10.8,
IC 51,,Galaxy,Cetus,1.70,00 46 24.22,-13 26 32.5,
IC 52,,Galaxy,Pisces,0.95,00 48 23.78,+04 05 30.7,
IC 53,,Galaxy,Pisces,0.87,00 50 40.77,+10 36 01.0,
IC 54,,**,Cetus,,00 50 46.85,-02 17 16.0,
IC 55,,Galaxy,Pisces,0.55,00 51 42.39,+07 43 06.7,
IC 56,,Galaxy,Cetus,0.82,00 51 29.94,-12 50 39.5,
IC 57,,Galaxy,Pisces,1.03,00 54 48.50,+11 50 28.3,
IC 58,,Galaxy,Cetus,0.84,00 55 02.44,-13 40 41.1,
IC 59,,Reflection Nebula,Cassiopeia,10.00,00 57 28.61,+61 08 37.2,
IC 60,,Galaxy,Cetus,1.04,00 56 04.23,-13 21 28.5,
IC 61,,Galaxy,Pisces,1.34,00 57 07.20,+07 30 25.5,
IC 62,,Galaxy,Pisces,0.76,00 58 43.94,+11 48 28.8,
IC 63,,HII Emission Nebula,Cassiopeia,10.00,00 59 28.84,+60 54 42.1,
IC 64,,Galaxy,Pisces,1.03,00 59 24.42,+27 03 32.6,13.96
IC 65,,Galaxy,Andromeda,2.56,01 00 55.42,+47 40 55.1,
IC 66,,Galaxy,Pisces,1.23,01 00 32.50,+30 47 50.0,14.10
IC 67,,NonEx,Cetus,,01 00 17.66,-06 54 38.7,
IC 68,,NonEx,Cetus,,01 00 21.65,-06 56 38.8,
IC 69,,Galaxy,Pisces,0.76,01 01 23.66,+31 02 27.0,
IC 70,,Galaxy,Cetus,0.42,01 01 03.95,+00 03 02.7,
IC 71,,*,Cetus,,01 01 19.26,-06 46 01.8,
IC 72,,*,Cetus,,01 01 34.71,-06 46 40.6,
IC 73,,Galaxy,Pisces,0.62,01 04 52.95,+04 46 01.7,
IC 74,,Galaxy,Pisces,0.57,01 05 55.95,+04 05 24.9,
IC 75,,Galaxy,Pisces,0.66,01 07 11.61,+10 50 12.8,
IC 76,,Galaxy,Cetus,0.81,01 08 11.71,-04 33 16.2,
IC 77,,Galaxy,Cetus,0.52,01 08 43.75,-15 25 15.3,15.04
IC 78,,Galaxy,Cetus,1.75,01 08 47.70,-15 50 42.3,
IC 79,,Galaxy,Cetus,1.24,01 08 49.71,-15 56 54.9,
IC 80,,Galaxy Pair,Cetus,1.20,01 08 50.90,-15 24 27.0,
IC 80 NED01,,Galaxy,Cetus,1.50,01 08 50.70,-15 24 32.2,
IC 80 NED02,,Galaxy,Cetus,1.50,01 08 51.13,-15 24 22.7,12.90
IC 81,,Galaxy,Cetus,1.17,01 09 22.26,-01 41 45.1,
IC 82,,Galaxy,Cetus,0.91,01 09 05.79,-16 00 01.1,
IC 83,,Galaxy,Cetus,0.68,01 10 29.78,+01 41 21.7,
IC 84,,Galaxy,Cetus,0.67,01 11 25.60,+01 38 24.7,
