name,description,type,constellation,size,ra,dec,mag
NGC 1,,Galaxy,Pegasus,1.57,00 07 15.84,+27 42 29.1,12.93
NGC 2,,Galaxy,Pegasus,0.95,00 07 17.11,+27 40 42.1,14.17
NGC 3,,Galaxy,Pisces,1.02,00 07 16.80,+08 18 05.9,13.40
NGC 4,,Galaxy,Pisces,0.53,00 07 24.41,+08 22 25.6,
NGC 5,,Galaxy,Andromeda,0.98,00 07 48.87,+35 21 44.3,
NGC 6,NGC 20,Galaxy,Andromeda,1.73,00 09 32.70,+33 18 31.2,
NGC 7,,Galaxy,Sculptor,2.47,00 08 20.96,-29 54 54.0,13.84
NGC 8,,**,Pegasus,,00 08 45.30,+23 50 20.0,15.32
NGC 9,,Galaxy,Pegasus,0.70,00 08 54.70,+23 49 01.1,
NGC 10,,Galaxy,Sculptor,2.35,00 08 34.54,-33 51 30.0,12.49
NGC 11,,Galaxy,Andromeda,1.44,00 08 42.50,+37 26 52.5,
NGC 12,,Galaxy,Pisces,1.52,00 08 44.75,+04 36 45.1,13.18
NGC 13,,Galaxy,Andromeda,2.28,00 08 47.72,+33 26 00.0,
NGC 14,,Galaxy,Pegasus,1.53,00 08 46.40,+15 48 56.0,12.44
NGC 15,,Galaxy,Pegasus,1.07,00 09 02.47,+21 37 28.3,
NGC 16,,Galaxy,Pegasus,1.74,00 09 04.29,+27 43 45.9,12.00
NGC 17,NGC 34,Galaxy,Cetus,1.15,00 11 06.55,-12 06 26.3,13.52
NGC 18,,**,Pegasus,,00 09 23.10,+27 43 55.5,
NGC 19,,Galaxy,Andromeda,1.21,00 10 40.87,+32 58 59.1,
NGC 20,NGC 6,Duplicate,Andromeda,,00 09 32.70,+33 18 31.2,
NGC 21,NGC 29,Galaxy,Andromeda,1.38,00 10 46.90,+33 21 10.2,
NGC 22,,Galaxy,Pegasus,1.21,00 09 48.19,+27 49 56.3,
NGC 23,,Galaxy,Pegasus,1.55,00 09 53.41,+25 55 25.6,11.98
NGC 24,,Galaxy,Sculptor,6.18,00 09 56.54,-24 57 47.3,11.52
NGC 25,,Galaxy,Phoenix,1.43,00 09 59.28,-57 01 15.0,15.50
NGC 26,,Galaxy,Pegasus,1.12,00 10 25.87,+25 49 54.6,
NGC 27,,Galaxy,Andromeda,1.22,00 10 32.77,+28 59 46.5,
NGC 28,,Galaxy,Phoenix,0.92,00 10 25.24,-56 59 20.9,
NGC 29,NGC 21,Duplicate,Andromeda,,00 10 46.90,+33 21 10.2,
NGC 30,,**,Pegasus,,00 10 50.79,+21 58 37.1,
NGC 31,,Galaxy,Phoenix,1.17,00 10 38.39,-56 59 11.4,
NGC 32,,*,Pegasus,,00 10 53.59,+18 47 45.6,
NGC 33,,**,Pisces,,00 10 56.64,+03 40 33.3,
NGC 34,NGC 17,Duplicate,Cetus,,00 11 06.55,-12 06 26.3,
NGC 35,,Galaxy,Cetus,0.76,00 11 10.48,-12 01 15.3,
NGC 36,,Galaxy,Pisces,2.14,00 11 22.30,+06 23 21.7,
NGC 37,,Galaxy,Phoenix,1.11,00 11 22.93,-56 57 26.4,
NGC 38,,Galaxy,Pisces,1.14,00 11 46.99,-05 35 10.6,
NGC 39,,Galaxy,Andromeda,1.10,00 12 18.86,+31 03 39.9,
NGC 40,,Planetary Nebula,Cepheus,0.80,00 13 01.03,+72 31 19.0,11.89
NGC 41,,Galaxy,Pegasus,0.94,00 12 47.97,+22 01 24.2,
NGC 42,,Galaxy,Pegasus,0.86,00 12 56.35,+22 06 01.1,
NGC 43,,Galaxy,Andromeda,1.39,00 13 00.75,+30 54 55.0,
NGC 44,,**,Andromeda,,00 13 13.40,+31 17 10.5,
NGC 45,,Galaxy,Cetus,6.18,00 14 03.99,-23 10 55.5,10.44
NGC 46,,*,Pisces,,00 14 09.86,+05 59 15.7,11.68
NGC 47,NGC 58,Galaxy,Cetus,1.35,00 14 30.64,-07 10 02.8,
NGC 48,,Galaxy,Andromeda,1.34,00 14 02.19,+48 14 05.5,
NGC 49,,Galaxy,Andromeda,0.93,00 14 22.43,+48 14 47.8,
NGC 50,,Galaxy,Cetus,2.04,00 14 44.57,-07 20 42.3,
NGC 51,,Galaxy,Andromeda,1.40,00 14 34.92,+48 15 20.5,
NGC 52,,Galaxy,Pegasus,2.26,00 14 40.11,+18 34 55.3,
NGC 53,,Galaxy,Tucana,1.54,00 14 42.85,-60 19 43.5,12.64
NGC 54,,Galaxy,Cetus,1.35,00 15 07.67,-07 06 24.2,
NGC 55,,Galaxy,Sculptor,29.85,00 14 53.60,-39 11 47.9,8.54
NGC 56,,Other,Pisces,,00 15 20.66,+12 26 40.3,
NGC 57,,Galaxy,Pisces,2.11,00 15 30.87,+17 19 42.7,11.65
NGC 58,NGC 47,Duplicate,Cetus,,00 14 30.64,-07 10 02.8,
NGC 59,,Galaxy,Cetus,2.38,00 15 25.13,-21 26 39.8,12.45
NGC 60,,Galaxy,Pisces,1.03,00 15 58.24,-00 18 12.7,14.86
NGC 61,,Galaxy Pair,Cetus,1.50,00 16 24.20,-06 19 10.0,
NGC 61A,,Galaxy,Cetus,1.48,00 16 24.34,-06 19 18.9,
NGC 61B,,Galaxy,Cetus,1.34,00 16 24.07,-06 19 07.9,
NGC 62,,Galaxy,Cetus,0.99,00 17 05.42,-13 29 13.6,
NGC 63,,Galaxy,Pisces,1.72,00 17 45.52,+11 27 01.2,12.53
NGC 64,,Galaxy,Cetus,1.38,00 17 30.37,-06 49 28.6,
NGC 65,,Galaxy,Cetus,1.02,00 18 58.71,-22 52 49.3,
NGC 66,,Galaxy,Cetus,1.24,00 19 04.94,-22 56 11.0,
NGC 67,NGC 67A,Galaxy,Andromeda,0.49,00 18 12.19,+30 03 19.9,
NGC 68,,Galaxy,Andromeda,1.29,00 18 18.49,+30 04 18.3,
